pav,flow(veh/hr),speed(mph),density(veh/mile)
0.222222222222,3240.0,66.639410743,34.0411205684
0.263157894737,3420.0,67.9658291378,43.3209832098
0.1875,2880.0,72.3450568868,33.0159954854
0.222222222222,3240.0,71.3570760467,40.4579770929
0.333333333333,3240.0,69.5504059373,43.9272185009
0.111111111111,3240.0,67.544834243,40.3320091259
0.176470588235,3060.0,63.8080676882,37.0166489306
0.176470588235,3060.0,58.9961377789,40.055587708
0.263157894737,3420.0,69.5463719451,38.368239037
0.166666666667,3240.0,74.3971676488,38.15277085
0.277777777778,3240.0,64.8817125459,47.9673879425
0.25,3600.0,69.5534568461,44.4341428889
0.235294117647,3060.0,73.5225748716,35.218911657
0.176470588235,3060.0,64.2458792115,44.5734348775
0.117647058824,3060.0,66.010732602,43.3221391421
0.235294117647,3060.0,68.0774191862,35.2084806591
0.157894736842,3420.0,72.7748930024,32.3026159127
0.125,2880.0,69.13651066,32.1161023654
0.222222222222,3240.0,67.8903278816,36.6747995358
0.235294117647,3060.0,68.7780593241,39.5382699391
0.111111111111,3240.0,65.8165747727,45.3054079705
0.166666666667,3240.0,66.6599513346,34.885175037
0.166666666667,3240.0,74.447040738,28.9281193457
0.210526315789,3420.0,71.1210590468,36.413073954
0.2,2700.0,67.3895524407,28.9716751478
0.222222222222,3240.0,70.3305320007,37.9082660416
0.210526315789,3420.0,75.2028164502,40.3703092722
0.235294117647,3060.0,72.2987315503,34.9553371428
0.294117647059,3060.0,66.7220673999,40.7457277116
0.117647058824,3060.0,70.0893655796,32.1938128346
0.222222222222,3240.0,67.5499003152,43.4637734931
0.235294117647,3060.0,71.4417848382,35.1101591911
0.222222222222,3240.0,68.5113656014,47.0916705316
0.333333333333,3240.0,66.1845966314,41.6176511806
0.111111111111,3240.0,60.4199435886,43.0969264735
0.315789473684,3420.0,71.7098168086,47.2164432395
0.222222222222,3240.0,68.0270961565,35.2805362916
0.235294117647,3060.0,70.7913127481,34.9266955816
0.166666666667,3240.0,70.0339811164,42.9510887155
0.117647058824,3060.0,72.3555900307,29.6345724692
0.294117647059,3060.0,65.9830611425,38.9476253249
0.210526315789,3420.0,68.8978369551,43.3489114503
0.277777777778,3240.0,66.4662473874,46.4076856584
0.315789473684,3420.0,68.1421459778,50.1164394216
0.222222222222,3240.0,63.788803047,44.5715223333
0.111111111111,3240.0,71.3140096795,33.6485740566
0.176470588235,3060.0,72.4638938406,37.6659125785
0.166666666667,3240.0,63.3176072597,41.8551695645
0.166666666667,3240.0,66.8734562822,37.3076513247
0.176470588235,3060.0,69.0539649982,37.1230544805
0.210526315789,3420.0,65.452554755,41.521822972
0.263157894737,3420.0,71.5560471682,33.6930517529
0.235294117647,3060.0,69.371043709,43.8122216813
0.1875,2880.0,71.7815845848,31.0890249385
0.117647058824,3060.0,71.9890515159,33.359069513
0.176470588235,3060.0,69.7626734402,32.3891684826
0.117647058824,3060.0,68.9204275916,32.8967363349
0.117647058824,3060.0,71.695868992,27.5126520336
0.0588235294118,3060.0,72.0986861537,27.9539672426
0.117647058824,3060.0,65.9655510219,33.0583048551
0.315789473684,3420.0,72.5050112412,39.3271092539
0.166666666667,3240.0,68.3092619656,38.2124652386
0.117647058824,3060.0,71.2279386761,27.2458825686
0.25,2880.0,74.2248094346,28.1973606941
0.3,3600.0,73.2628275174,37.0519523741
0.277777777778,3240.0,66.9770724146,40.1066980064
