did,oid,eid,sid,ent,countveh,countveh_D,flow,flow_D,speed,speed_D,occupancy,occupancy_D,density,density_D,headway,headway_D
692,431,,2,6,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,6,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,7,16.0,-1.0,2880.0,-1.0,111.5217611218103,-1.0,12.848284951844438,-1.0,15.315415015308313,-1.0,1.1252836142138913,-1.0
692,430,,0,7,16.0,-1.0,2880.0,-1.0,110.9678159249481,-1.0,21.872659447188376,-1.0,25.724976852428952,-1.0,1.3000700852885616,-1.0
692,431,,0,7,2.0,-1.0,360.0,-1.0,2.073999104736231,-1.0,99.9999999999998,-1.0,117.5741515521803,-1.0,1.9489295720639088,-1.0
692,432,,0,7,2.0,-1.0,360.0,-1.0,0.9502447738395858,-1.0,99.9999999999998,-1.0,118.8641172595243,-1.0,2.67715091642814,-1.0
692,429,,1,7,16.0,-1.0,2880.0,-1.0,111.5217611218103,-1.0,12.848284951844438,-1.0,15.315415015308313,-1.0,1.1252836142138913,-1.0
692,430,,1,7,16.0,-1.0,2880.0,-1.0,110.9678159249481,-1.0,21.872659447188376,-1.0,25.724976852428952,-1.0,1.3000700852885616,-1.0
692,431,,1,7,2.0,-1.0,360.0,-1.0,2.073999104736231,-1.0,99.9999999999998,-1.0,117.5741515521803,-1.0,1.9489295720639088,-1.0
692,432,,1,7,2.0,-1.0,360.0,-1.0,0.9502447738395858,-1.0,99.9999999999998,-1.0,118.8641172595243,-1.0,2.67715091642814,-1.0
692,429,,2,7,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,7,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,7,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,7,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,8,17.0,-1.0,3060.0,-1.0,119.57693696892666,-1.0,14.6865712777103,-1.0,17.124249387615343,-1.0,1.1553155567719025,-1.0
692,430,,0,8,14.0,-1.0,2520.0,-1.0,105.38392100745826,-1.0,19.8288348058931,-1.0,23.668656121059854,-1.0,1.4606174088539985,-1.0
692,431,,0,8,2.0,-1.0,360.0,-1.0,1.9317210814006103,-1.0,99.9999999999998,-1.0,118.22656597772435,-1.0,4.8737708518731795,-1.0
692,432,,0,8,2.0,-1.0,360.0,-1.0,0.9502447738395858,-1.0,99.9999999999998,-1.0,115.68384631309671,-1.0,0.2703832899953162,-1.0
692,429,,1,8,16.0,-1.0,2880.0,-1.0,119.30580802948457,-1.0,13.451853931142086,-1.0,15.675857277034723,-1.0,1.232336593890029,-1.0
692,430,,1,8,14.0,-1.0,2520.0,-1.0,105.38392100745826,-1.0,19.8288348058931,-1.0,23.668656121059854,-1.0,1.4606174088539985,-1.0
692,431,,1,8,2.0,-1.0,360.0,-1.0,1.9317210814006103,-1.0,99.9999999999998,-1.0,118.22656597772435,-1.0,4.8737708518731795,-1.0
692,432,,1,8,2.0,-1.0,360.0,-1.0,0.9502447738395858,-1.0,99.9999999999998,-1.0,115.68384631309671,-1.0,0.2703832899953162,-1.0
692,429,,2,8,1.0,-1.0,180.0,-1.0,123.91499999999998,-1.0,1.2347173465682124,-1.0,1.4526086430214264,-1.0,-1.0,-1.0
692,430,,2,8,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,8,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,8,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,9,18.0,-1.0,3240.0,-1.0,115.3968256427057,-1.0,17.555276135977564,-1.0,20.78048744978039,-1.0,1.1218178229935252,-1.0
692,430,,0,9,18.0,-1.0,3240.0,-1.0,106.16127565254737,-1.0,25.428045165661793,-1.0,29.954230407653306,-1.0,1.0989508844231946,-1.0
692,431,,0,9,2.0,-1.0,360.0,-1.0,2.953800535438404,-1.0,99.9999999999998,-1.0,118.46891777234995,-1.0,6.625527930309226,-1.0
692,432,,0,9,1.0,-1.0,180.0,-1.0,0.9861387181663304,-1.0,99.9999999999998,-1.0,115.22950017766149,-1.0,-1.0,-1.0
692,429,,1,9,18.0,-1.0,3240.0,-1.0,115.3968256427057,-1.0,17.555276135977564,-1.0,20.78048744978039,-1.0,1.1218178229935252,-1.0
692,430,,1,9,18.0,-1.0,3240.0,-1.0,106.16127565254737,-1.0,25.428045165661793,-1.0,29.954230407653306,-1.0,1.0989508844231946,-1.0
692,431,,1,9,2.0,-1.0,360.0,-1.0,2.953800535438404,-1.0,99.9999999999998,-1.0,118.46891777234995,-1.0,6.625527930309226,-1.0
692,432,,1,9,1.0,-1.0,180.0,-1.0,0.9861387181663304,-1.0,99.9999999999998,-1.0,115.22950017766149,-1.0,-1.0,-1.0
692,429,,2,9,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,9,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,9,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,9,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,10,16.0,-1.0,2880.0,-1.0,111.2846552707424,-1.0,16.703311049575284,-1.0,19.8655349608841,-1.0,1.1304910167889923,-1.0
692,430,,0,10,15.0,-1.0,2700.0,-1.0,104.31892854799781,-1.0,20.009507130704595,-1.0,23.801151772373196,-1.0,1.2564125018061498,-1.0
692,431,,0,10,2.0,-1.0,360.0,-1.0,3.538849528628816,-1.0,99.9999999999998,-1.0,117.21289390959804,-1.0,1.7982833345451348,-1.0
692,432,,0,10,2.0,-1.0,360.0,-1.0,1.2974342259149125,-1.0,99.9999999999998,-1.0,119.39254056550091,-1.0,13.967503716594905,-1.0
692,429,,1,10,16.0,-1.0,2880.0,-1.0,111.2846552707424,-1.0,16.703311049575284,-1.0,19.8655349608841,-1.0,1.1304910167889923,-1.0
692,430,,1,10,15.0,-1.0,2700.0,-1.0,104.31892854799781,-1.0,20.009507130704595,-1.0,23.801151772373196,-1.0,1.2564125018061498,-1.0
692,431,,1,10,2.0,-1.0,360.0,-1.0,3.538849528628816,-1.0,99.9999999999998,-1.0,117.21289390959804,-1.0,1.7982833345451348,-1.0
692,432,,1,10,2.0,-1.0,360.0,-1.0,1.2974342259149125,-1.0,99.9999999999998,-1.0,119.39254056550091,-1.0,13.967503716594905,-1.0
692,429,,2,10,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,10,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,10,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,10,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,11,16.0,-1.0,2880.0,-1.0,110.32695792565036,-1.0,17.62052601264547,-1.0,20.675460121954316,-1.0,1.1227509371134525,-1.0
692,430,,0,11,16.0,-1.0,2880.0,-1.0,103.90690957447629,-1.0,22.819395885434318,-1.0,26.684206232019427,-1.0,0.9445743521579425,-1.0
692,431,,0,11,2.0,-1.0,360.0,-1.0,1.8759674374932729,-1.0,99.9999999999998,-1.0,115.19588124144217,-1.0,0.13614771919678498,-1.0
692,432,,0,11,5.0,-1.0,900.0,-1.0,2.171574095606411,-1.0,99.9999999999998,-1.0,118.5173370140097,-1.0,4.370497148796872,-1.0
692,429,,1,11,16.0,-1.0,2880.0,-1.0,110.32695792565036,-1.0,17.62052601264547,-1.0,20.675460121954316,-1.0,1.1227509371134525,-1.0
692,430,,1,11,15.0,-1.0,2700.0,-1.0,103.90190423802069,-1.0,21.343780665609312,-1.0,24.948627866363317,-1.0,1.0120439487406527,-1.0
692,431,,1,11,2.0,-1.0,360.0,-1.0,1.8759674374932729,-1.0,99.9999999999998,-1.0,115.19588124144217,-1.0,0.13614771919678498,-1.0
692,432,,1,11,5.0,-1.0,900.0,-1.0,2.171574095606411,-1.0,99.9999999999998,-1.0,118.5173370140097,-1.0,4.370497148796872,-1.0
692,429,,2,11,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,11,1.0,-1.0,180.0,-1.0,103.98198962131028,-1.0,1.4756152198249934,-1.0,1.7360179056764629,-1.0,-1.0,-1.0
692,431,,2,11,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,11,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,12,16.0,-1.0,2880.0,-1.0,116.40157120221528,-1.0,13.871679285313714,-1.0,16.264355711888594,-1.0,1.2517530233533711,-1.0
692,430,,0,12,19.0,-1.0,3420.0,-1.0,107.32684124721767,-1.0,17.460016124102662,-1.0,20.743391899659382,-1.0,1.0056311189130498,-1.0
692,431,,0,12,2.0,-1.0,360.0,-1.0,1.166717559593053,-1.0,99.9999999999998,-1.0,118.1382591764136,-1.0,3.0745356520851246,-1.0
692,432,,0,12,4.0,-1.0,720.0,-1.0,2.84579107245645,-1.0,99.9999999999998,-1.0,118.10157548958418,-1.0,2.748187021390025,-1.0
692,429,,1,12,16.0,-1.0,2880.0,-1.0,116.40157120221528,-1.0,13.871679285313714,-1.0,16.264355711888594,-1.0,1.2517530233533711,-1.0
692,430,,1,12,19.0,-1.0,3420.0,-1.0,107.32684124721767,-1.0,17.460016124102662,-1.0,20.743391899659382,-1.0,1.0056311189130498,-1.0
692,431,,1,12,2.0,-1.0,360.0,-1.0,1.166717559593053,-1.0,99.9999999999998,-1.0,118.1382591764136,-1.0,3.0745356520851246,-1.0
692,432,,1,12,4.0,-1.0,720.0,-1.0,2.84579107245645,-1.0,99.9999999999998,-1.0,118.10157548958418,-1.0,2.748187021390025,-1.0
692,429,,2,12,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,12,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,12,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,12,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,13,16.0,-1.0,2880.0,-1.0,117.20955588269744,-1.0,11.457475109834714,-1.0,13.595486013411264,-1.0,1.1080150101944037,-1.0
692,430,,0,13,14.0,-1.0,2520.0,-1.0,108.20905983361892,-1.0,19.70781774613846,-1.0,23.499912403261913,-1.0,1.3940219404203806,-1.0
692,431,,0,13,2.0,-1.0,360.0,-1.0,2.863013088907337,-1.0,99.9999999999998,-1.0,113.6827426473826,-1.0,5.197466752439315,-1.0
692,432,,0,13,6.0,-1.0,1080.0,-1.0,2.860330764230639,-1.0,99.9999999999998,-1.0,115.31659090055712,-1.0,3.782260970779054,-1.0
692,429,,1,13,16.0,-1.0,2880.0,-1.0,117.20955588269744,-1.0,11.457475109834714,-1.0,13.595486013411264,-1.0,1.1080150101944037,-1.0
692,430,,1,13,14.0,-1.0,2520.0,-1.0,108.20905983361892,-1.0,19.70781774613846,-1.0,23.499912403261913,-1.0,1.3940219404203806,-1.0
692,431,,1,13,2.0,-1.0,360.0,-1.0,2.863013088907337,-1.0,99.9999999999998,-1.0,113.6827426473826,-1.0,5.197466752439315,-1.0
692,432,,1,13,6.0,-1.0,1080.0,-1.0,2.860330764230639,-1.0,99.9999999999998,-1.0,115.31659090055712,-1.0,3.782260970779054,-1.0
692,429,,2,13,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,13,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,13,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,13,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,14,18.0,-1.0,3240.0,-1.0,117.08965751718853,-1.0,17.032211347166847,-1.0,19.904599477341364,-1.0,1.1189405470476101,-1.0
692,430,,0,14,17.0,-1.0,3060.0,-1.0,108.61926017234825,-1.0,22.25360449511867,-1.0,25.953969913555323,-1.0,1.1397635397374055,-1.0
692,431,,0,14,2.0,-1.0,360.0,-1.0,1.8871334491150265,-1.0,99.9999999999998,-1.0,117.59113982521919,-1.0,5.567274746198474,-1.0
