pav,flow(veh/hr),speed(mph),density(veh/mile)
1.0,5760.0,11.9423122458,189.294117647
1.0,6120.0,12.3969618894,189.294117647
1.0,6120.0,12.7875488975,189.294117647
1.0,6120.0,12.9449084333,189.294117647
1.0,6120.0,12.9825031232,189.294117647
1.0,6480.0,12.9886723983,189.294117647
1.0,6120.0,13.1446085115,189.294117647
1.0,6120.0,13.1837109405,189.294117647
1.0,6480.0,13.2420735219,189.294117647
1.0,6480.0,13.6855977523,189.294117647
1.0,6840.0,14.5376903242,189.294117647
1.0,6840.0,15.25179462,189.294117647
1.0,7200.0,15.5915701659,189.294117647
1.0,6840.0,15.6949908634,189.294117647
1.0,7200.0,15.73224792,189.294117647
1.0,7200.0,16.1902810001,189.294117647
1.0,7560.0,16.5347837888,189.294117647
1.0,7560.0,16.6858963385,189.294117647
1.0,7560.0,17.0428541096,189.294117647
1.0,7560.0,17.3733100489,189.294117647
1.0,7920.0,17.7626418613,189.294117647
1.0,7560.0,17.9014557296,189.294117647
1.0,7920.0,18.1053335689,189.294117647
1.0,7920.0,18.2385297807,189.294117647
1.0,7920.0,18.2893670736,189.294117647
1.0,7920.0,18.2521483996,189.294117647
1.0,7920.0,18.2471515855,189.294117647
1.0,7920.0,18.2810554785,189.294117647
1.0,7920.0,18.5010786901,189.294117647
1.0,8280.0,18.6734191964,189.294117647
1.0,7920.0,18.9256894311,189.294117647
1.0,8280.0,19.1383991778,189.294117647
1.0,8100.0,19.3453649719,189.294117647
1.0,8280.0,19.5647484022,189.294117647
1.0,8280.0,19.6634248262,189.294117647
1.0,8460.0,19.847264565,189.294117647
1.0,8280.0,20.0346858037,189.294117647
1.0,8460.0,20.0880627694,189.294117647
1.0,8280.0,20.1943172323,189.294117647
1.0,8640.0,20.3080073225,189.294117647
1.0,8280.0,20.3570159526,189.294117647
1.0,8460.0,20.3731440237,189.294117647
1.0,8280.0,20.4190599019,189.294117647
1.0,8640.0,20.5000280518,189.294117647
1.0,8280.0,20.5818742826,189.294117647
1.0,900.0,1.28146474829,189.294117647
1.0,1080.0,1.67596269984,189.294117647
1.0,1440.0,2.04693579511,189.294117647
1.0,1080.0,2.05096330947,189.294117647
1.0,1440.0,2.05096333126,189.294117647
1.0,1080.0,2.05096333126,189.294117647
1.0,1260.0,2.05096333126,189.294117647
1.0,1260.0,2.27444391141,189.294117647
1.0,1440.0,2.46219416296,189.294117647
1.0,1800.0,2.68626841569,189.294117647
1.0,1800.0,3.31125287538,189.294117647
1.0,2160.0,3.41775036275,189.294117647
1.0,1800.0,3.41827216991,189.294117647
1.0,2160.0,3.41827221877,189.294117647
1.0,1980.0,3.41827221877,189.294117647
1.0,1980.0,3.41827221877,189.294117647
1.0,2160.0,3.65302585879,189.294117647
1.0,2160.0,3.7307180426,189.294117647
1.0,2340.0,3.97358415552,189.294117647
1.0,2700.0,4.69322981917,189.294117647
1.0,2880.0,4.78501796147,189.294117647
1.0,2520.0,4.78558074464,189.294117647
1.0,2880.0,4.78558110617,189.294117647
1.0,2520.0,4.78558110627,189.294117647
1.0,2880.0,4.78558110628,189.294117647
1.0,2880.0,4.8999865614,189.294117647
1.0,2880.0,5.0820180775,189.294117647
1.0,2880.0,5.47816962071,189.294117647
1.0,3420.0,6.0778539033,189.294117647
1.0,3420.0,6.15186737791,189.294117647
1.0,3240.0,6.15288691514,189.294117647
0.947368421053,3420.0,6.15288998912,189.488541576
1.0,3420.0,6.15288999378,189.294117647
1.0,3420.0,6.15288999378,189.294117647
1.0,3420.0,6.26357909352,189.294117647
1.0,3600.0,6.37847521568,189.294117647
1.0,3600.0,6.86450290136,189.294117647
0.954545454545,3960.0,7.433215339,188.91165476
1.0,4140.0,7.51777124857,189.294117647
1.0,3960.0,7.5201815808,189.294117647
1.0,3960.0,7.52019880232,189.294117647
1.0,3960.0,7.5201988811,189.294117647
1.0,4140.0,7.52019888129,189.294117647
1.0,4140.0,7.58173691803,189.294117647
1.0,3960.0,7.70947287584,189.294117647
1.0,4320.0,8.26123793869,189.294117647
1.0,4680.0,8.7938147987,189.294117647
1.0,4680.0,8.88370203995,189.294117647
1.0,4680.0,8.88743916544,189.294117647
1.0,4500.0,8.88750708367,189.294117647
1.0,4500.0,8.88750776324,189.294117647
1.0,4680.0,8.88750776878,189.294117647
1.0,4680.0,8.94648780285,189.294117647
1.0,4680.0,9.07968276391,189.294117647
1.0,5040.0,9.63778554226,189.294117647
1.0,5040.0,10.1504242405,189.294117647
1.0,5220.0,10.2486572174,189.294117647
1.0,5220.0,10.2515669037,189.294117647
1.0,5040.0,10.1999292373,189.294117647
1.0,5220.0,10.15180512,189.294117647
1.0,5040.0,10.1885658828,189.294117647
1.0,5400.0,10.3017602491,189.294117647
1.0,5040.0,10.4679407989,189.294117647
1.0,5760.0,11.0333698157,189.294117647
1.0,5400.0,11.5138127907,189.294117647
1.0,5760.0,11.6125944563,189.294117647
